title,link,last,first,district,party,phone_num,email,img_link,id
Senator,/legislators/irene-aguilar,Aguilar,Irene,32,Democrat,303-866-4852,irene.aguilar.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_s-aguilar%2C%20irene.jpg?itok=LPm4bPc7,SenAguilar32
Representative,/legislators/jeni-james-arndt,Arndt,Jeni James,53,Democrat,303-866-2917,jeni.arndt.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_arndt-co-17.jpg?itok=BOPWvPGK,RepArndt53
Senator,/legislators/randy-l-baumgardner,Baumgardner,Randy,8,Republican,303-866-5292,randy.baumgardner.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_s-baumgardner%2C%20randy.jpg?itok=Ju2nXDoI,SenBaumgardner8
Representative,/legislators/kc-becker,Becker,KC,13,Democrat,303-866-2578,kcbecker.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_beckerkc-co-17.jpg?itok=2NxgoftS,RepBecker13
Representative,/legislators/jon-becker,Becker,Jon,65,Republican,303-866-3706,jon.becker.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_beckerjon-co-17.jpg?itok=uLkf26nZ,RepBecker65
Representative,/legislators/susan-beckman,Beckman,Susan,38,Republican,303-866-2953,susan.beckman.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_beckman-co-17.jpg?itok=QGxmVSqN,RepBeckman38
Representative,/legislators/adrienne-benavidez,Benavidez,Adrienne,32,Democrat,303-866-2964,adrienne.benavidez.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_benavidez-co-17.jpg?itok=Gs0Kg2Y-,RepBenavidez32
Representative,/legislators/jeff-bridges,Bridges,Jeff,3,Democrat,303-866-2921,jeff.bridges.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_bridges-co-17.jpg?itok=9XryX75E,RepBridges3
Representative,/legislators/perry-buck,Buck,Perry,49,Republican,303-866-2907,perrybuck49@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_buck-co-17.jpg?itok=qvls0S3G,RepBuck49
Representative,/legislators/janet-p-buckner,Buckner,Janet,40,Democrat,303-866-2944,janet.buckner.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_buckner-co-17.jpg?itok=f2JoL_G7,RepBuckner40
Representative,/legislators/terri-carver,Carver,Terri,20,Republican,303-866-2191,terri.carver.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_carver-co-17.jpg?itok=tQSb6j62,RepCarver20
Representative,/legislators/marc-catlin,Catlin,Marc,58,Republican,303-866-2955,marc.catlin.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_catlin-co-17.jpg?itok=E9x8Uyyk,RepCatlin58
Representative,/legislators/james-coleman,Coleman,James,7,Democrat,303-866-2909,james.coleman.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_coleman-co-17.jpg?itok=ryJb8wPe,RepColeman7
Senator,/legislators/john-cooke,Cooke,John,13,Republican,303-866-4451,john.cooke.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_cooke-co-17.jpg?itok=wLGFmGj7,SenCooke13
Senator,/legislators/don-coram,Coram,Don,6,Republican,303-866-4884,don.coram.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_coram-co-17.jpg?itok=ybS1ZNG_,SenCoram6
Senator,/legislators/lois-court,Court,Lois,31,Democrat,303-866-4861,lois.court.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_court-co-17.jpg?itok=Vgky5AAh,SenCourt31
Representative,/legislators/phil-covarrubias,Covarrubias,Phil,56,Republican,303-866-2912,Phil.Covarrubias.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_1covarrubias-co-17_1.jpg?itok=JwFPMO92,RepCovarrubias56
Senator,/legislators/larry-w-crowder,Crowder,Larry,35,Republican,303-866-4875,larry.crowder.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_crowder-co-17.jpg?itok=ccBlL26h,SenCrowder35
Representative,/legislators/jessie-danielson,Danielson,Jessie,24,Democrat,303-866-5522,jessie.danielson.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_danielson-co-17.jpg?itok=DYr_49DF,RepDanielson24
Senator,/legislators/kerry-donovan,Donovan,Kerry,5,Democrat,303-866-4871,kerry.donovan.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_donovan-co-17.jpg?itok=xDOsHs_B,SenDonovan5
Representative,/legislators/crisanta-duran,Duran,Crisanta,5,Democrat,303-866-2925,crisanta.duran.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_h-speaker%20duran%20-17.jpg?itok=aPBQpZ1i,RepDuran5
Representative,/legislators/daneya-esgar,Esgar,Daneya,46,Democrat,303-866-2968,daneya.esgar.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_esgar-co-17.jpg?itok=WmxetJSX,RepEsgar46
